match_id,season,round_label,round_number,date,is_final,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,tries,position_method,source_url,source,team_short,opposition_short
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,L. Marshall,marshall,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,A. Miski,miski,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,H. Smith,smith,,HLF,HLF,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,L. Thompson,thompson,,PR,PR,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,J. Wardle,wardle,,LC,LC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025017,2025,Round 3,3,2025-03-01,False,Warrington,Wigan,,M. Ashton,ashton,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Wigan
2025017,2025,Round 3,3,2025-03-01,False,Warrington,Wigan,,M. Dufty,dufty,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Wigan
2025017,2025,Round 3,3,2025-03-01,False,Warrington,Wigan,,J. Harrison,harrison,,LK,LK,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Wigan
2025017,2025,Round 3,3,2025-03-01,False,Warrington,Wigan,,A. Lindop,lindop,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Wigan
2025018,2025,Round 3,3,2025-03-02,False,Leeds,Castleford,,J. Connor,connor,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
